Transaction Name,Acquired Company Name,Acquiring Company Name,Announced On Date,Price
The Carlyle Group acquires PIB Insurance,PIB Insurance,The Carlyle Group,12/15/2015,
migme acquires Hipwee,Hipwee,migme,12/18/2015,
Kik acquires Blynk,Blynk,Kik,12/21/2015,
Workz acquires Banner Tips,Banner Tips,Workz,01/21/2000,
Credit Karma acquires Snowball,Snowball,Credit Karma,12/30/2015,
Luma acquires Nodal Industries,Nodal Industries,Luma,01/06/2016,
Career Step acquires Code3 CME,Code3 CME,Career Step,01/06/2016,
Times Internet acquires Viral Shots,Viral Shots,Times Internet,01/07/2016,
EnLink Midstream acquires Tall Oak Midstream,Tall Oak Midstream,EnLink Midstream,01/07/2016,"$1,550,000,000"
Zenvia acquires Vivera,Vivera,Zenvia,03/11/2015,
Revcontent acquires ContentClick,ContentClick,Revcontent,01/08/2016,
PWNHealth acquires Bind Health,Bind Health,PWNHealth,01/11/2016,
Manugistics acquires SpaceWorks,SpaceWorks,Manugistics,07/25/2001,
Garmin acquires PulsedLight,PulsedLight,Garmin,01/13/2016,
National Credit Center acquires AimLogic,AimLogic,National Credit Center,01/20/2016,
Spotify acquires Cord Project,Cord Project,Spotify,01/20/2016,
99 Bitcoins acquires Coin Fire,Coin Fire,99 Bitcoins,10/01/2015,
99 Bitcoins acquires Coin Brief,Coin Brief,99 Bitcoins,09/01/2015,
PocketSights acquires SideGuide,SideGuide,PocketSights,01/16/2016,
"Digital West acquires AdSmart, Inc.","AdSmart, Inc.",Digital West,12/31/2015,
PetalMD acquires Medago,Medago,PetalMD,01/26/2016,
Craftsvilla acquires Sendd,Sendd,Craftsvilla,01/26/2016,"$4,500,000"
FireEye acquires Invotas,Invotas,FireEye,02/02/2016,
McCumby Fitness and Performance acquires FitMonster,FitMonster,McCumby Fitness and Performance,02/02/2016,
AHAlife.com acquires Bezar,Bezar,AHAlife.com,02/02/2016,
Apple acquires LegbaCore,LegbaCore,Apple,02/03/2016,
CustomInk acquires Represent,Represent,CustomInk,02/04/2016,
Everalbum acquires Pout,Pout,Everalbum,02/05/2016,
Hired acquires breaz,breaz,Hired,02/08/2016,
AppLift acquires appiris,appiris,AppLift,02/19/2015,
Moseda Technologies acquires CareKit Health,CareKit Health,Moseda Technologies,02/10/2016,
Chartboost acquires Roostr,Roostr,Chartboost,02/11/2016,
Argosy Private Equity acquires Nationwide Industries,Nationwide Industries,Argosy Private Equity,02/15/2016,"$22,200,000"
"Palantir Technologies acquires Kimono Labs, Inc.","Kimono Labs, Inc.",Palantir Technologies,02/15/2016,
Housejoy acquires Orobind Fitness Technologies Pvt. Ltd.,Orobind Fitness Technologies Pvt. Ltd.,Housejoy,02/17/2016,
"Thirstie, Inc. acquires Drinkfly",Drinkfly,"Thirstie, Inc.",02/17/2016,
Blab acquires Podclear,Podclear,Blab,09/30/2015,
Advantix acquires BlueKloud,BlueKloud,Advantix,02/23/2016,
BuzzMyVideos acquires MakeTag,MakeTag,BuzzMyVideos,02/23/2016,
DAQRI acquires 1066 Labs,1066 Labs,DAQRI,03/01/2016,
Postmedia Network acquires Ampifii,Ampifii,Postmedia Network,03/02/2016,
Men Rock acquires Carsons Apothecary,Carsons Apothecary,Men Rock,03/02/2016,
Mic Network acquires Hyper,Hyper,Mic Network,03/08/2016,
InnerChef acquires Eatongo.in,Eatongo.in,InnerChef,03/09/2016,
Booker acquires Frederick,Frederick,Booker,03/08/2016,
Naviant acquires Strategic Database Group,Strategic Database Group,Naviant,02/29/2000,
InVision acquires Silver Flows,Silver Flows,InVision,03/14/2016,
YesBoss acquires HeyKuya,HeyKuya,YesBoss,03/15/2016,
FinTech Studios acquires iubble,iubble,FinTech Studios,03/15/2016,
Payoneer acquires Armor Payments,Armor Payments,Payoneer,03/15/2016,
WeWork acquires Welkio,Welkio,WeWork,03/18/2016,
paylo acquires Ruplee I Pay Solutions Pvt Limited,Ruplee I Pay Solutions Pvt Limited,paylo,03/21/2016,
